csv_row	link	title	author	normalized_url	lanacion_nid	internal_dup	repo_status	matched_post_qmd	pertinence	draft_eligible	draft_qmd	suggested_slug	notes
2	https://www.linkedin.com/pulse/moral-distance-artificial-intelligence-eduardo-levy-yeyati-2wpjf/?trackingId=KZXfG5n1reAcWy3XeZYDVQ%3D%3D	The Moral Distance of Artificial Intelligence	Eduardo Levy Yeyati	https://www.linkedin.com/pulse/moral-distance-artificial-intelligence-eduardo-levy-yeyati-2wpjf			candidate		yes	yes	cepe-pending-2.qmd	the-moral-distance-of-artificial-intelligence	
3	https://www.lanacion.com.ar/opinion/que-futuro-refleja-el-boom-de-acciones-tecnologicas-nid19112025/	¿Qué futuro refleja el boom de acciones tecnológicas?		https://www.lanacion.com.ar/opinion/que-futuro-refleja-el-boom-de-acciones-tecnologicas-nid19112025	19112025		candidate		yes	yes	cepe-pending-3.qmd	qué-futuro-refleja-el-boom-de-acciones-tecnológicas	
4	https://www.lanacion.com.ar/ideas/fuera-de-control-el-verdadero-peligro-de-la-ia-no-es-que-piense-por-si-misma-nid04102025/	Fuera de control: El verdadero peligro de la IA no es que piense por sí misma		https://www.lanacion.com.ar/ideas/fuera-de-control-el-verdadero-peligro-de-la-ia-no-es-que-piense-por-si-misma-nid04102025	04102025		candidate		yes	yes	cepe-pending-4.qmd	fuera-de-control-el-verdadero-peligro-de-la-ia-no-es-que-piense-por-sí-misma	
5	https://www.lanacion.com.ar/opinion/una-inteligencia-artificial-que-hable-nuestro-idioma-nid10092025/	Una inteligencia artificial que hable nuestro idioma		https://www.lanacion.com.ar/opinion/una-inteligencia-artificial-que-hable-nuestro-idioma-nid10092025	10092025		published	una-inteligencia-artificial-que-hable-nuestro-idioma.qmd	yes	no		una-inteligencia-artificial-que-hable-nuestro-idioma	
6	https://www.lanacion.com.ar/ideas/saberes-el-riesgo-de-tercerizar-en-la-ia-las-tareas-complejas-de-pensamiento-nid09082025/	Saberes: El riesgo de tercerizar en la IA las tareas complejas de pensamiento		https://www.lanacion.com.ar/ideas/saberes-el-riesgo-de-tercerizar-en-la-ia-las-tareas-complejas-de-pensamiento-nid09082025	09082025		published	la-paradoja-de-tercerizar-el-pensamiento-en-la-ia.qmd	yes	no		saberes-el-riesgo-de-tercerizar-en-la-ia-las-tareas-complejas-de-pensamiento	
7	https://www.lanacion.com.ar/ideas/deepseek-una-via-a-la-soberania-tecnologica-o-una-nueva-dependencia-nid22022025/	DeepSeek: ¿Una vía a la “soberanía” tecnológica o una nueva dependencia?		https://www.lanacion.com.ar/ideas/deepseek-una-via-a-la-soberania-tecnologica-o-una-nueva-dependencia-nid22022025	22022025		published	deepseek-atajo-a-la-soberanía-tecnológica-o-nueva-dependencia.qmd	yes	no		deepseek-una-vía-a-la-soberanía-tecnológica-o-una-nueva-dependencia	
8	https://www.lanacion.com.ar/economia/amando-al-robot-la-fragil-linea-entre-lo-real-y-lo-artificial-nid27102024/	Amando al robot: la frágil línea entre lo real y lo artificial		https://www.lanacion.com.ar/economia/amando-al-robot-la-fragil-linea-entre-lo-real-y-lo-artificial-nid27102024	27102024		candidate		yes	yes	cepe-pending-8.qmd	amando-al-robot-la-frágil-línea-entre-lo-real-y-lo-artificial	
9	https://www.lanacion.com.ar/ideas/factor-humano-cual-es-el-tipo-de-conocimiento-humano-al-que-aun-no-llega-la-inteligencia-artificial-nid21092024/	¿Cuál es el tipo de conocimiento humano al que aún no llega la inteligencia artificial?		https://www.lanacion.com.ar/ideas/factor-humano-cual-es-el-tipo-de-conocimiento-humano-al-que-aun-no-llega-la-inteligencia-artificial-nid21092024	21092024		candidate		yes	yes	cepe-pending-9.qmd	cuál-es-el-tipo-de-conocimiento-humano-al-que-aún-no-llega-la-inteligencia-artif	
10	https://www.lanacion.com.ar/economia/el-futuro-siempre-incierto-probablemente-no-sea-solo-tecnologico-sino-tambien-humano-nid15092024/	Avances de la IA: El futuro, siempre incierto, probablemente no sea solo tecnológico, sino también humano		https://www.lanacion.com.ar/economia/el-futuro-siempre-incierto-probablemente-no-sea-solo-tecnologico-sino-tambien-humano-nid15092024	15092024		candidate		yes	yes	cepe-pending-10.qmd	avances-de-la-ia-el-futuro-siempre-incierto-probablemente-no-sea-solo-tecnológic	
11	https://cepr.org/voxeu/columns/market-value-non-degree-credentials-new-evidence-37-million-us-workers	La IA y el trabajo: el factor humano será clave en el desarrollo y uso de la inteligencia artificial general		https://cepr.org/voxeu/columns/market-value-non-degree-credentials-new-evidence-37-million-us-workers			candidate		yes	yes	cepe-pending-11.qmd	la-ia-y-el-trabajo-el-factor-humano-será-clave-en-el-desarrollo-y-uso-de-la-inte	
12	https://www.brookings.edu/articles/the-market-value-of-non-degree-credentials/?b=1	The market value of non-degree credentials: New evidence from 37 million US workers		https://www.brookings.edu/articles/the-market-value-of-non-degree-credentials			candidate		duplicate_csv_row	no		the-market-value-of-non-degree-credentials-new-evidence-from-37-million-us-worke	same_study_cepr_brookings_pick_one
13	https://www.brookings.edu/articles/the-hal-dilemma-why-ai-obedience-may-be-more-dangerous-than-ai-rebellion/	The HAL dilemma: Why AI obedience may be more dangerous than AI rebellion		https://www.brookings.edu/articles/the-hal-dilemma-why-ai-obedience-may-be-more-dangerous-than-ai-rebellion			candidate		yes	yes	cepe-pending-13.qmd	the-hal-dilemma-why-ai-obedience-may-be-more-dangerous-than-ai-rebellion	
14	https://www.linkedin.com/pulse/la-paradoja-de-destilaci%C3%B3n-eduardo-levy-yeyati-dmpif/?trackingId=peOqQRVjA1x6als3%2BAdceg%3D%3D	La Paradoja de la Destilación		https://www.linkedin.com/pulse/la-paradoja-de-destilaci%C3%B3n-eduardo-levy-yeyati-dmpif			candidate		yes	yes	cepe-pending-14.qmd	la-paradoja-de-la-destilación	
15	https://www.linkedin.com/pulse/ai-generaci%C3%B3n-beta-educaci%C3%B3n-eduardo-levy-yeyati-jw0yf/	AI, generación beta & educación		https://www.linkedin.com/pulse/ai-generaci%C3%B3n-beta-educaci%C3%B3n-eduardo-levy-yeyati-jw0yf			candidate		yes	yes	cepe-pending-15.qmd	ai-generación-beta-educación	
16	https://publications.iadb.org/en/publications/english/viewer/Generative-AI-in-Education-A-Framework-for-Leveraging-Digital-Tools-in-Latin-American-Classrooms.pdf	Generative AI in Education: A Framework for Leveraging Digital Tools in Latin American Classrooms		https://publications.iadb.org/en/publications/english/viewer/Generative-AI-in-Education-A-Framework-for-Leveraging-Digital-Tools-in-Latin-American-Classrooms.pdf			candidate		yes	yes	cepe-pending-16.qmd	generative-ai-in-education-a-framework-for-leveraging-digital-tools-in-latin-ame	same_title_pdf_and_utdt_pick_one
17	https://www.brookings.edu/articles/latam-gpt-and-the-search-for-ai-sovereignty/	Latam-GPT and the search for AI sovereignty		https://www.brookings.edu/articles/latam-gpt-and-the-search-for-ai-sovereignty			candidate		yes	yes	cepe-pending-17.qmd	latam-gpt-and-the-search-for-ai-sovereignty	
18	https://www.eldiarioar.com/opinion/regulacion-ia-america-latina-urgencia-capacidad-real_129_12822725.html	Regulación de la IA en América Latina: entre la urgencia y la capacidad real		https://www.eldiarioar.com/opinion/regulacion-ia-america-latina-urgencia-capacidad-real_129_12822725.html			candidate		yes	yes	cepe-pending-18.qmd	regulación-de-la-ia-en-américa-latina-entre-la-urgencia-y-la-capacidad-real	
19	https://www.linkedin.com/pulse/we-training-ai-test-eduardo-levy-yeyati-lhnqf/?trackingId=63wO6MpGi5j9MH5rXY1ofw%3D%3D	Are We Training AI to the Test?		https://www.linkedin.com/pulse/we-training-ai-test-eduardo-levy-yeyati-lhnqf			candidate		yes	yes	cepe-pending-19.qmd	are-we-training-ai-to-the-test	
20	https://cepr.org/voxeu/columns/labour-market-institutions-ai-era-need-verified-employment-records	Labour market institutions for the AI era: The need for verified employment records		https://cepr.org/voxeu/columns/labour-market-institutions-ai-era-need-verified-employment-records			candidate		yes	yes	cepe-pending-20.qmd	labour-market-institutions-for-the-ai-era-the-need-for-verified-employment-recor	
21	https://publications.iadb.org/en/publications/english/viewer/An-Enabling-Regulatory-Framework-for-Artificial-Intelligence-in-Latin-America-and-the-Caribbean.pdf	An Enabling Regulatory Frame work for Artificial Intelligence in Latin America and the Caribbean Eduardo Levy Yeyati Inter-American Development Bank Institutions for Development Sector November 2025		https://publications.iadb.org/en/publications/english/viewer/An-Enabling-Regulatory-Framework-for-Artificial-Intelligence-in-Latin-America-and-the-Caribbean.pdf			candidate		yes	yes	cepe-pending-21.qmd	an-enabling-regulatory-frame-work-for-artificial-intelligence-in-latin-america-a	
22	https://www.utdt.edu/ver_contenido.php?id_contenido=26406&id_item_menu=31549	Are we ready for AI? A comparative analysis of AI readiness and preparedness indexes		https://www.utdt.edu/ver_contenido.php?id_contenido=26406&id_item_menu=31549			candidate		yes	yes	cepe-pending-22.qmd	are-we-ready-for-ai-a-comparative-analysis-of-ai-readiness-and-preparedness-inde	
23	https://www.linkedin.com/pulse/when-we-see-ai-dividend-eduardo-levy-yeyati-gx3wc/?trackingId=O%2FNLvtx3UP2s6MMwUuF7jw%3D%3D	When Will We See the AI Dividend?		https://www.linkedin.com/pulse/when-we-see-ai-dividend-eduardo-levy-yeyati-gx3wc			candidate		yes	yes	cepe-pending-23.qmd	when-will-we-see-the-ai-dividend	
24	https://www.linkedin.com/pulse/hal-skynet-why-ai-consciousness-wrong-question-eduardo-levy-yeyati-myspf/?trackingId=VH2ps0Bfpkx6g7uLNk4YwA%3D%3D	HAL Is No Skynet: Why AI Consciousness Is the Wrong Question		https://www.linkedin.com/pulse/hal-skynet-why-ai-consciousness-wrong-question-eduardo-levy-yeyati-myspf			candidate		yes	yes	cepe-pending-24.qmd	hal-is-no-skynet-why-ai-consciousness-is-the-wrong-question	
25	https://www.linkedin.com/in/eduardo-levy-yeyati-76116722/recent-activity/all/	Latin America’s Opportunity in the AI Race		https://www.linkedin.com/in/eduardo-levy-yeyati-76116722/recent-activity/all			exclude		no	no		latin-americas-opportunity-in-the-ai-race	profile_not_article
26	https://www.linkedin.com/pulse/turing-trap-reverse-ai-cognitive-offloading-paradox-levy-yeyati-buayf/?trackingId=Vpdt2sUS0N9uFmW7S7tHPg%3D%3D	A Turing Trap in Reverse: AI & the Cognitive Offloading Paradox		https://www.linkedin.com/pulse/turing-trap-reverse-ai-cognitive-offloading-paradox-levy-yeyati-buayf			candidate		yes	yes	cepe-pending-26.qmd	a-turing-trap-in-reverse-ai-the-cognitive-offloading-paradox	
27	https://www.linkedin.com/pulse/latin-americas-search-ai-sovereignty-eduardo-levy-yeyati-6bexf/?trackingId=j%2FfV8zop%2FcIb%2BML22iHzlA%3D%3D	Latin America's search for AI sovereignty		https://www.linkedin.com/pulse/latin-americas-search-ai-sovereignty-eduardo-levy-yeyati-6bexf			candidate		yes	yes	cepe-pending-27.qmd	latin-americas-search-for-ai-sovereignty	
28	https://www.brookings.edu/articles/hybrid-jobs-how-ai-is-rewriting-work-in-finance/	Hybrid jobs: How AI is rewriting work in finance		https://www.brookings.edu/articles/hybrid-jobs-how-ai-is-rewriting-work-in-finance			candidate		yes	yes	cepe-pending-28.qmd	hybrid-jobs-how-ai-is-rewriting-work-in-finance	
29	https://americasquarterly.org/article/regulating-ai-on-latin-americas-terms/	Regulating AI on Latin America’s Terms		https://americasquarterly.org/article/regulating-ai-on-latin-americas-terms			candidate		yes	yes	cepe-pending-29.qmd	regulating-ai-on-latin-americas-terms	
30	https://www.brookings.edu/articles/smart-ai-regulation-strategies-for-latin-american-policymakers/	Smart AI regulation strategies for Latin American policymakers		https://www.brookings.edu/articles/smart-ai-regulation-strategies-for-latin-american-policymakers			candidate		yes	yes	cepe-pending-30.qmd	smart-ai-regulation-strategies-for-latin-american-policymakers	
31	https://www.brookings.edu/articles/why-gen-ai-cant-fully-replace-us-for-now/	Why gen AI can’t fully replace us (for now)		https://www.brookings.edu/articles/why-gen-ai-cant-fully-replace-us-for-now			candidate		yes	yes	cepe-pending-31.qmd	why-gen-ai-cant-fully-replace-us-for-now	
32	https://www.linkedin.com/pulse/loving-robot-eduardo-levy-yeyati-yvqsf/?trackingId=%2BoOgivitloU%2BzTLhXn5FFg%3D%3D	Loving the Robot		https://www.linkedin.com/pulse/loving-robot-eduardo-levy-yeyati-yvqsf			candidate		yes	yes	cepe-pending-32.qmd	loving-the-robot	
33	https://www.linkedin.com/pulse/knowledge-transfer-paradox-eduardo-levy-yeyati-qvpgf/?trackingId=KPfd%2F3XubB8zazdaRJI2UQ%3D%3D	The knowledge transfer paradox		https://www.linkedin.com/pulse/knowledge-transfer-paradox-eduardo-levy-yeyati-qvpgf			candidate		yes	yes	cepe-pending-33.qmd	the-knowledge-transfer-paradox	
34	https://www.linkedin.com/pulse/human-factor-redefining-ai-frontier-eduardo-levy-yeyati-y5xxe/?trackingId=Rp%2BRTUC9g6U1thiFgfh3aw%3D%3D	The Human Factor: Redefining the AI frontier		https://www.linkedin.com/pulse/human-factor-redefining-ai-frontier-eduardo-levy-yeyati-y5xxe			candidate		yes	yes	cepe-pending-34.qmd	the-human-factor-redefining-the-ai-frontier	
35	https://humanfactormovement.substack.com/p/what-is-knowledge-and-how-much-can?r=4bi4ux&utm_campaign=post&utm_medium=web&triedRedirect=true	What is knowledge (and how much can be captured and substituted by AI)?		https://humanfactormovement.substack.com/p/what-is-knowledge-and-how-much-can			candidate		yes	yes	cepe-pending-35.qmd	what-is-knowledge-and-how-much-can-be-captured-and-substituted-by-ai	
36	https://americasquarterly.org/article/why-ai-may-be-better-for-latin-america-than-you-think/	Why AI May Be Better for Latin America Than You Think		https://americasquarterly.org/article/why-ai-may-be-better-for-latin-america-than-you-think			candidate		yes	yes	cepe-pending-36.qmd	why-ai-may-be-better-for-latin-america-than-you-think	
37	https://www.brookings.edu/articles/how-ai-can-support-teachers-in-latin-america/	How AI can support teachers in Latin America	Eduardo Levy Yeyati y Virginia Robano	https://www.brookings.edu/articles/how-ai-can-support-teachers-in-latin-america			candidate		yes	yes	cepe-pending-37.qmd	how-ai-can-support-teachers-in-latin-america	
38	https://www.brookings.edu/articles/digital-footprints-and-job-matching-the-new-frontier-of-ai-driven-hiring/	Digital footprints and job matching: The new frontier of AI-driven hiring	Eduardo Levy Yeyati e Ian Seyal	https://www.brookings.edu/articles/digital-footprints-and-job-matching-the-new-frontier-of-ai-driven-hiring			candidate		yes	yes	cepe-pending-38.qmd	digital-footprints-and-job-matching-the-new-frontier-of-ai-driven-hiring	
39	https://www.brookings.edu/articles/the-future-of-hiring-advantages-of-a-skill-based-ai-powered-hybrid-approach/	The future of hiring: Advantages of a skill-based, AI-powered, hybrid approach		https://www.brookings.edu/articles/the-future-of-hiring-advantages-of-a-skill-based-ai-powered-hybrid-approach			candidate		yes	yes	cepe-pending-39.qmd	the-future-of-hiring-advantages-of-a-skill-based-ai-powered-hybrid-approach	
40	https://www.utdt.edu/ver_contenido.php?id_contenido=25761&id_item_menu=31606	Generative AI in Education: A Framework for Leveraging Digital Tools in Latin American Classrooms	Eduardo Levy Yeyati, Virginia Robano, Emiliano Pereiro, Camila Porto, Víctor Koleszar	https://www.utdt.edu/ver_contenido.php?id_contenido=25761&id_item_menu=31606		dup_title_row_16	candidate		duplicate_csv_row	no		generative-ai-in-education-a-framework-for-leveraging-digital-tools-in-latin-ame	dup_title_row_16; same_title_pdf_and_utdt_pick_one
41	https://www.americasquarterly.org/article/deepseek-reveals-latin-americas-ai-crossroads/	DeepSeek Reveals Latin America’s AI Crossroads	Eduardo Levy Yeyati y Soledad Guilera	https://www.americasquarterly.org/article/deepseek-reveals-latin-americas-ai-crossroads			candidate		yes	yes	cepe-pending-41.qmd	deepseek-reveals-latin-americas-ai-crossroads	related_topic_see_posts_deepseek-atajo
42	https://www.lanacion.com.ar/economia/el-futuro-siempre-incierto-probablemente-no-sea-solo-tecnologico-sino-tambien-humano-nid15092024/	El futuro, siempre incierto, probablemente no sea solo tecnológico, sino también humano		https://www.lanacion.com.ar/economia/el-futuro-siempre-incierto-probablemente-no-sea-solo-tecnologico-sino-tambien-humano-nid15092024	15092024	dup_url_row_10	candidate		duplicate_csv_row	no		el-futuro-siempre-incierto-probablemente-no-sea-solo-tecnológico-sino-también-hu	dup_url_row_10
43	https://www.utdt.edu/ver_contenido.php?id_contenido=25391&id_item_menu=31606	AI regulation: A primer for Latin American lawmakers	Eduardo Levy Yeyati y Angeles Cortesi	https://www.utdt.edu/ver_contenido.php?id_contenido=25391&id_item_menu=31606			candidate		yes	yes	cepe-pending-43.qmd	ai-regulation-a-primer-for-latin-american-lawmakers	
44	https://automatizados.com.ar/	AUTOMATIZADOS: Vida y trabajo en tiempos de inteligencia artificial	Eduardo Levy Yeyati y Darío Judzik	https://automatizados.com.ar			candidate		yes	yes	cepe-pending-44.qmd	automatizados-vida-y-trabajo-en-tiempos-de-inteligencia-artificial	
45	https://www.clarin.com/opinion/barrera-inteligencia-artificial-tecnologica-humana_0_kbGRScHzU9.html	La barrera a la Inteligencia Artificial no es tecnológica, sino humana	Darío Judzik	https://www.clarin.com/opinion/barrera-inteligencia-artificial-tecnologica-humana_0_kbGRScHzU9.html			candidate		yes	yes	cepe-pending-45.qmd	la-barrera-a-la-inteligencia-artificial-no-es-tecnológica-sino-humana	
46	https://ciiar.org/ia-en-municipios-argentinos-el-tren-bala-que-no-podemos-perder/	IA en municipios argentinos: el tren bala que no podemos perder	Guadalupe Dorna	https://ciiar.org/ia-en-municipios-argentinos-el-tren-bala-que-no-podemos-perder			candidate		yes	yes	cepe-pending-46.qmd	ia-en-municipios-argentinos-el-tren-bala-que-no-podemos-perder	
47	https://www.lanacion.com.ar/economia/inteligencia-artificial-en-educacion-la-urgencia-de-amplificar-lo-humano-nid02112025/	Inteligencia Artificial en educación: la urgencia de amplificar lo humano	Guadalupe Dorna y Walter Sosa Escudero	https://www.lanacion.com.ar/economia/inteligencia-artificial-en-educacion-la-urgencia-de-amplificar-lo-humano-nid02112025	02112025		candidate		yes	yes	cepe-pending-47.qmd	inteligencia-artificial-en-educación-la-urgencia-de-amplificar-lo-humano	
48	https://www.utdt.edu/ver_nota_prensa.php?id_nota_prensa=22270&id_item_menu=6	Hacia una coalición de Inteligencia Artificial en América Latina: Desafíos y oportunidades para la transformación urbana	Soledad Guilera	https://www.utdt.edu/ver_nota_prensa.php?id_item_menu=6&id_nota_prensa=22270			candidate		yes	yes	cepe-pending-48.qmd	hacia-una-coalición-de-inteligencia-artificial-en-américa-latina-desafíos-y-opor	
49	https://www.infobae.com/opinion/2025/04/29/inteligencia-artificial-en-los-gobiernos-locales/	Inteligencia artificial en los gobiernos locales		https://www.infobae.com/opinion/2025/04/29/inteligencia-artificial-en-los-gobiernos-locales			candidate		yes	yes	cepe-pending-49.qmd	inteligencia-artificial-en-los-gobiernos-locales	
